id , Source name , Counterpart name , Class , RA (J2000.0) , Dec (J2000.0) , Significance , Flux 10-2000 GeV (ph/cm2/s) , Flux 10-2000 GeV Error , Spectral Index , Spectral Index Error , Log Nu peak (Hz) , Redshift , TeV Cat , Prev. Fermi Assoc.
1 , 3FHL J0001.2-0748  , PMN J0001-0746  , bll  , 0.31067517399787903 , -7.807518482208252 , 5.36 , 2.959e-11 , 1.170e-11 , 1.672 , 0.827 , 14.49 , 0.000 ,   , 3FGL J0001.2-0748 
2 , 3FHL J0001.9-4155  , 1RXS J000135.5-415519  , bcu  , 0.48486530780792236 , -41.930259704589844 , 5.64 , 4.323e-11 , 1.343e-11 , 1.782 , 0.494 , 15.8 , 0.000 ,   , 3FGL J0002.2-4152 
3 , 3FHL J0002.1-6728  , SUMSS J000215-672653  , bcu  , 0.528261661529541 , -67.48248291015625 , 8.47 , 5.009e-11 , 1.335e-11 , 1.811 , 0.626 , 15.65 , 0.000 ,   , 3FGL J0002.0-6722 
4 , 3FHL J0003.3-5248  , RBS 0006  , bcu  , 0.8300246596336365 , -52.814998626708984 , 7.23 , 4.156e-11 , 1.284e-11 , 1.601 , 0.564 , 16.85 , 0.000 ,   , 3FGL J0003.2-5246 
5 , 3FHL J0007.0+7303  , LAT PSR J0007+7303  , PSR  , 1.7646807432174683 , 73.05597686767578 , 75.27 , 1.531e-9 , 6.134e-11 , 3.175 , 0.21 , 0 , 0.000 , CTA 1  , 3FGL J0007.0+7302 
6 , 3FHL J0007.9+4711  , MG4 J000800+4712  , bll  , 1.9931458234786987 , 47.191978454589844 , 17.77 , 1.513e-10 , 2.218e-11 , 2.678 , 0.42 , 15.4 , 0.28 ,   , 3FGL J0008.0+4713 
7 , 3FHL J0008.4-2339  , RBS 0016  , bll  , 2.1242945194244385 , -23.651365280151367 , 9.68 , 7.460e-11 , 1.790e-11 , 2.739 , 0.714 , 14.72 , 0.147 ,   , 3FGL J0008.6-2340 
8 , 3FHL J0009.1+0628  , CRATES J000903.95+062821.5 , bll  , 2.287442922592163 , 6.481377124786377 , 6.28 , 4.160e-11 , 1.432e-11 , 2.553 , 0.836 , 14.82 , 0.000 ,   , 3FGL J0009.1+0630 
9 , 3FHL J0009.4+5030  , NVSS J000922+503028  , bll  , 2.350379228591919 , 50.504878997802734 , 22.4 , 2.219e-10 , 2.621e-11 , 1.43 , 0.351 , 15.15 , 0.000 ,   , 3FGL J0009.3+5030 
10 , 3FHL J0009.7-4319  , SUMSS J000949-431654  , bll  , 2.444950819015503 , -43.31950378417969 , 4.96 , 2.419e-11 , 1.001e-11 , 2.204 , 0.964 , 0 , 0.000 ,   ,  
11 , 3FHL J0013.0-3956  , PKS 0010-401  , bll  , 3.2523112297058105 , -39.93812561035156 , 7.2 , 4.988e-11 , 1.438e-11 , 3.013 , 0.949 , 12.27 , 0.000 ,   , 3FGL J0013.2-3954 
12 , 3FHL J0013.8-1855  , RBS 0030  , bll  , 3.4684338569641113 , -18.916900634765625 , 5.27 , 3.109e-11 , 1.195e-11 , 1.944 , 0.916 , 16.72 , 0.095 , SHBL J001355.9-185406 , 3FGL J0013.9-1853 
13 , 3FHL J0014.0-5024  , RBS 0032  , bll  , 3.5038001537323 , -50.40033721923828 , 4.87 , 3.026e-11 , 1.137e-11 , 1.498 , 0.749 , 16.92 , 0.000 ,   , 3FGL J0014.0-5025 
14 , 3FHL J0014.7+5801  , 1RXS J001442.2+580201  , bll  , 3.6950950622558594 , 58.02438735961914 , 8.22 , 5.674e-11 , 1.398e-11 , 2.001 , 0.444 , 16.64 , 0.000 ,   , 3FGL J0014.7+5802 
15 , 3FHL J0014.9+6118  , 4C +60.01  , bcu  , 3.7365994453430176 , 61.30251693725586 , 9.09 , 8.478e-11 , 1.685e-11 , 3.091 , 0.548 , 13.11 , 0.000 ,   , 3FGL J0014.6+6119 
16 , 3FHL J0015.7+5551  , GB6 J0015+5551  , bll  , 3.9336628913879395 , 55.86485290527344 , 8.11 , 5.216e-11 , 1.321e-11 , 1.697 , 0.373 , 15.79 , 0.000 ,   , 3FGL J0015.7+5552 
17 , 3FHL J0018.6+2946  , RBS 0042  , bll  , 4.652533054351807 , 29.782142639160156 , 7.92 , 5.058e-11 , 1.450e-11 , 1.68 , 0.49 , 16.77 , 0.1 ,   , 3FGL J0018.4+2947 
18 , 3FHL J0019.1-8151  , PMN J0019-8152  , bll  , 4.776153087615967 , -81.86212158203125 , 7.5 , 5.804e-11 , 1.470e-11 , 2.574 , 0.769 , 15.14 , 0.000 ,   , 3FGL J0018.9-8152 
19 , 3FHL J0021.4-2550  , CRATES J002132.55-255049.3 , bll  , 5.369340896606445 , -25.84705924987793 , 6.8 , 4.729e-11 , 1.496e-11 , 2.056 , 0.717 , 14.53 , 0.000 ,   , 3FGL J0021.6-2553 
20 , 3FHL J0021.8-5140  , 1RXS J002159.2-514028  , bll  , 5.46391487121582 , -51.6755485534668 , 9.96 , 6.679e-11 , 1.594e-11 , 2.856 , 0.573 , 15.68 , 0.000 ,   , 3FGL J0022.1-5141 
21 , 3FHL J0022.0+0006  , 1RXS J002200.9+000659  , bll  , 5.50323486328125 , 0.10580995678901672 , 5.97 , 3.481e-11 , 1.295e-11 , 1.011 , 0.583 , 18.2 , 0.000 ,   , 2FHL J0022.0+0006 
22 , 3FHL J0022.1-1855  , 1RXS J002209.2-185333  , bll  , 5.5259833335876465 , -18.91701316833496 , 10 , 6.882e-11 , 1.743e-11 , 1.892 , 0.527 , 15.13 , 0.000 ,   , 3FGL J0022.1-1855 
23 , 3FHL J0022.4+0607  , PKS 0019+058  , bll  , 5.621655464172363 , 6.132139682769775 , 11.33 , 1.116e-10 , 2.206e-11 , 2.234 , 0.514 , 13.11 , 0.000 ,   , 3FGL J0022.5+0608 
24 , 3FHL J0024.2-7205  , 47 Tuc  , glc  , 6.057860374450684 , -72.0944595336914 , 5.13 , 2.479e-11 , 9.389e-12 , 3.863 , 1.071 , 0 , 0.000 ,   , 3FGL J0023.9-7203 
25 , 3FHL J0025.5+6407  , Tycho  , snr  , 6.379510879516602 , 64.13015747070312 , 6.8 , 6.009e-11 , 1.524e-11 , 2.441 , 0.37 , 0 , 0.000 , Tycho  , 3FGL J0025.7+6404 
26 , 3FHL J0026.5-4602  , 1RXS J002636.3-460101  , bll  , 6.6442484855651855 , -46.0441780090332 , 4.89 , 2.461e-11 , 1.021e-11 , 1.543 , 0.811 , 17.41 , 0.000 ,   , 3FGL J0026.7-4603 
27 , 3FHL J0029.4+2052  , NVSS J002928+205332  , bcu  , 7.364803791046143 , 20.868982315063477 , 5.12 , 2.643e-11 , 1.040e-11 , 1.363 , 0.656 , 0 , 0.000 ,   ,  
28 , 3FHL J0030.2-1648  , 1RXS J003019.6-164723  , bll  , 7.572597026824951 , -16.800193786621094 , 8.52 , 5.981e-11 , 1.611e-11 , 1.625 , 0.49 , 15.52 , 2.1 ,   , 3FGL J0030.2-1646 
29 , 3FHL J0030.5-0210  , PKS B0027-024  , bcu  , 7.642247200012207 , -2.1800360679626465 , 5.14 , 3.285e-11 , 1.279e-11 , 6.306 , 2.495 , 12.58 , 2.09 ,   , 3FGL J0030.7-0209 
30 , 3FHL J0031.2+0727  , NVSS J003119+072456  , bcu  , 7.8195977210998535 , 7.459073066711426 , 4.96 , 3.738e-11 , 1.375e-11 , 2.39 , 0.947 , 15.18 , 0.000 ,   , 3FGL J0031.3+0724 
31 , 3FHL J0033.5-1921  , KUV 00311-1938  , bll  , 8.39293098449707 , -19.35748291015625 , 30.09 , 4.384e-10 , 4.202e-11 , 1.916 , 0.194 , 15.92 , 0.61 , KUV 00311-1938  , 3FGL J0033.6-1921 
32 , 3FHL J0035.2+1514  , RX J0035.2+1515  , bll  , 8.817281723022461 , 15.243119239807129 , 14.25 , 1.434e-10 , 2.428e-11 , 2.231 , 0.395 , 15.1 , 0.000 ,   , 3FGL J0035.2+1513 
33 , 3FHL J0035.9+5950  , 1ES 0033+595  , bll  , 8.978160858154297 , 59.835044860839844 , 40.12 , 6.094e-10 , 4.127e-11 , 1.855 , 0.114 , 17.12 , 0.000 , 1ES 0033+595  , 3FGL J0035.9+5949 
