id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , Significance , Log Parabola signif. , Peak Interval , Previous Fermi Association , Other Gamma Catalog Associations , TeVCat Flag , TeV Assoc. Name , Class , Low confidence Class , Association , Low Confidence Assoc. , Assoc. Probability , R.A. Counterpart , Dec. Counterpart , Counterpart Error
1 , 4FGL J0001.2+4741 , 0.3126 , 47.6859 ,  , 4.19693 , 0.20407747 ,  ,  ,  , N ,  , bcu ,  , B3 2358+474 ,  , 0.99609655 , 0.3293408 , 47.7002009361 , 0.00000084
2 , 4FGL J0001.2-0747 , 0.3151 , -7.7971 ,  , 22.748436 , 1.417618 ,  , 3FGL J0001.2-0748 ,  , N ,  , bll ,  , PMN J0001-0746 ,  , 0.99701446 , 0.3251038 , -7.774144975 , 0.00000018
3 , 4FGL J0001.5+2113 , 0.3815 , 21.2183 ,  , 30.666046 , 5.0912256 , 31559456 , 3FGL J0001.4+2120 ,  , N ,  , fsrq ,  , TXS 2358+209 ,  , 0.9980486 , 0.3848771 , 21.2267429583 , 0.00000034
4 , 4FGL J0001.6-4156 , 0.4165 , -41.9425 ,  , 11.464017 , 0.40303585 ,  , 3FGL J0002.2-4152 ,  , N ,  , bcu ,  , 1RXS J000135.5-415519 ,  , 0.9963356 , 0.386479595833 , -41.9237053972 , 0.000069
5 , 4FGL J0002.1-6728 , 0.5378 , -67.4746 ,  , 11.558185 , 2.0598197 ,  , 3FGL J0002.0-6722 ,  , N ,  , bcu ,  , SUMSS J000215-672653 ,  , 0.9966394 , 0.563303229167 , -67.4481760667 , 0.000016
6 , 4FGL J0003.1-5248 , 0.7817 , -52.8071 ,  , 13.530244 , 1.2588248 ,  , 3FGL J0003.2-5246 ,  , N ,  , bcu ,  , RBS 0006 ,  , 0.9830022 , 0.8314999938011169 , -52.79094314575195 , 0.009
7 , 4FGL J0003.2+2207 , 0.8058 , 22.1302 ,  , 4.199248 , 1.7167195 ,  ,  ,  , N ,  , bll ,  , 2MASX J00032450+2204559 ,  ,  , 0.8521784543991089 , 22.0821533203125 , 0.0045
8 , 4FGL J0003.3-1928 , 0.8465 , -19.4676 ,  , 12.278203 , 3.3564024 , 31559456 ,  ,  , N ,  , bcu ,  , PKS 0000-197 ,  , 0.9972004 , 0.827812570833 , -19.4562098556 , 0.00000017
9 , 4FGL J0003.3-5905 , 0.8483 , -59.0952 ,  , 5.896742 , 0.2801407 ,  ,  ,  , N ,  , bcu ,  , PMN J0003-5905 ,  , 0.97976094 , 0.8055400252342224 , -59.096580505371094 , 0.0045
10 , 4FGL J0003.9-1149 , 0.9986 , -11.8251 ,  , 10.233945 , 2.7669737 ,  , 3FGL J0003.8-1151 ,  , N ,  , bll ,  , PMN J0004-1148 ,  , 0.9983225 , 1.02047914167 , -11.8162183194 , 0.00000012
11 , 4FGL J0004.0+0840 , 1.0073 , 8.6757 ,  , 6.7910714 , 1.9199413 ,  , 3FGL J0004.2+0843 ,  , N ,  , bcu ,  , SDSS J000359.23+084138.1 ,  , 0.9922678 , 0.996792179167 , 8.6939406 , 0.00000042
12 , 4FGL J0004.4-4737 , 1.1091 , -47.6233 ,  , 19.205418 , 1.6479106 , 31560000 , 3FGL J0004.7-4740 ,  , N ,  , fsrq ,  , PKS 0002-478 ,  , 0.9971799 , 1.1485645375 , -47.6054455472 , 0.000000088
13 , 4FGL J0005.9+3824 , 1.4986 , 38.401 ,  , 14.65977 , 2.5308628 , 31560000 , 3FGL J0006.4+3825 ,  , N ,  , fsrq ,  , S4 0003+38 ,  , 0.9926908 , 1.48823080417 , 38.3375414 , 0.000000075
14 , 4FGL J0006.3-0620 , 1.5992 , -6.3493 ,  , 4.12492 , 1.4384562 ,  ,  ,  , N ,  , bll ,  , CGRaBS J0006-0623 ,  , 0.9901411 , 1.55788704167 , -6.39314870278 , 0.000000068
15 , 4FGL J0006.4+0135 , 1.6094 , 1.5982 ,  , 6.145243 , 1.0555145 ,  , 3FGL J0006.2+0135 ,  , N ,  , bcu ,  , NVSS J000626+013611 ,  , 0.99729097 , 1.61218634167 , 1.60288485 , 0.0000015
16 , 4FGL J0007.7+4008 , 1.9275 , 40.134 ,  , 11.106481 , 2.5580692 ,  , 3FGL J0007.9+4006 ,  , N ,  , bcu ,  , NVSS J000741+400830 ,  , 0.9971315 , 1.92361052083 , 40.1416492417 , 0.00000045
17 , 4FGL J0008.0+4711 , 2.0024 , 47.195 ,  , 42.16299 , 3.5582082 ,  , 3FGL J0008.0+4713 ,  , N ,  , bll ,  , MG4 J000800+4712 ,  , 0.99995524 , 1.99988861667 , 47.20215795 , 0.00000024
18 , 4FGL J0008.0-3937 , 2.0048 , -39.632 ,  , 5.730293 , 3.0652084 ,  ,  ,  , N ,  , bcu ,  , PMN J0008-3945 ,  , 0.9207396 , 2.038343667984009 , -39.756378173828125 , 0.0045
19 , 4FGL J0008.4-2339 , 2.111 , -23.6514 ,  , 10.519943 , 1.8402169 ,  , 3FGL J0008.6-2340 ,  , N ,  , bll ,  , RBS 0016 ,  , 0.9926684 , 2.14749853333 , -23.6577799306 , 0.00000054
20 , 4FGL J0008.4+1455 , 2.1246 , 14.9232 ,  , 10.041938 , 0.6488417 ,  , 3FGL J0008.3+1456 ,  , N ,  , bcu ,  , NVSS J000825+145635 ,  , 0.9917855 , 2.10583264167 , 14.9432751944 , 0.00000021
21 , 4FGL J0009.1+0628 , 2.2973 , 6.4828 ,  , 13.052364 , 0.9813813 ,  , 3FGL J0009.1+0630 ,  , N ,  , bll ,  , TXS 0006+061 ,  , 0.9931449 , 2.26638275 , 6.47256675278 , 0.00000016
22 , 4FGL J0009.3+5030 , 2.3466 , 50.5115 ,  , 54.228363 , 4.3845778 , 31560000 , 3FGL J0009.3+5030 ,  , N ,  , bll ,  , NVSS J000922+503028 ,  , 0.9999694 , 2.344833625 , 50.5080106194 , 0.00000037
23 , 4FGL J0009.7-3217 , 2.4443 , -32.2976 ,  , 7.085836 , 0.8613283 ,  , 3FGL J0009.6-3211 ,  , N ,  , rdg ,  , IC 1531 ,  , 0.99067837 , 2.39815735417 , -32.2769248667 , 0.00000017
24 , 4FGL J0009.8-4317 , 2.4533 , -43.2979 ,  , 9.7891655 , 0.7269835 ,  ,  ,  , N ,  , bll ,  , SUMSS J000949-431654 ,  , 0.99851024 , 2.457291603088379 , -43.280582427978516 , 0.0045
25 , 4FGL J0010.6+2043 , 2.6502 , 20.7332 ,  , 4.55181 , 1.5020043 , 31560000 ,  ,  , N ,  , fsrq ,  , TXS 0007+205 ,  , 0.96985173 , 2.61976269167 , 20.7971634917 , 0.00000014
26 , 4FGL J0010.6-3025 , 2.6675 , -30.4258 ,  , 13.226071 , 1.7034289 , 31560000 ,  ,  , N ,  , fsrq ,  , PKS 0008-307 ,  , 0.99674195 , 2.64892584167 , -30.4631718333 , 0.00000018
27 , 4FGL J0010.8-2154 , 2.7174 , -21.9004 ,  , 4.217368 , 0.3283757 ,  ,  ,  , N ,  , bcu ,  , PKS 0008-222 ,  , 0.9900694 , 2.7235416 , -21.9511722639 , 0.00000012
28 , 4FGL J0011.4+0057 , 2.8551 , 0.9646 ,  , 13.4172535 , 0.9152117 , 31559456 , 2FGL J0011.3+0054 ,  , N ,  , fsrq ,  , RX J0011.5+0058 ,  , 0.99867564 , 2.87668005833 , 0.964410311111 , 0.00000016
29 , 4FGL J0011.8-3142 , 2.9547 , -31.7154 ,  , 5.024043 , 1.0242977 , 31560000 ,  ,  , N ,  , bcu ,  , SUMSS J001141-314220 ,  , 0 , 2.9239165782928467 , -31.705778121948242 , 0.0045
30 , 4FGL J0012.0+7043 , 3.0032 , 70.7326 ,  , 7.808201 , 0.16537851 ,  , 3FGL J0012.4+7040 ,  , N ,  , bcu ,  , TXS 0008+704 ,  , 0.97765577 , 2.88292842917 , 70.7587849694 , 0.00000011
31 , 4FGL J0013.1-3955 , 3.2802 , -39.9272 ,  , 16.90583 , 1.4529521 ,  , 3FGL J0013.2-3954 ,  , N ,  , bll ,  , PKS 0010-401 ,  , 0.99866146 , 3.24962430417 , -39.9072375472 , 0.000000095
