id , Source Name , 1-100 GeV Flux (ph cm-2 s-1) , 1-100 GeV Flux Error (ph cm-2 s-1) , 0.1-100 GeV Energy Flux (erg cm-2 s-1) , 0.1-100 GeV Energy Flux Error (erg cm-2 s-1) , Spectrum Type , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s)
1 , 4FGL J0000.3-7355 , 1.719e-10 , 3.110e-11 , 1.920e-12 , 3.520e-13 , PowerLaw , 1.242e-10 , 4.543e-11 , 1.034e-11 , <3.998e-12 , 2.951e-13 , 3.075e-13 , 2.455e-13 , 9.260e-17
2 , 4FGL J0001.2+4741 , 1.425e-10 , 3.706e-11 , 1.631e-12 , 4.481e-13 , PowerLaw , 1.244e-10 , 2.557e-11 , 3.477e-12 , 2.710e-12 , 2.931e-13 , 1.715e-13 , 8.194e-14 , 1.337e-13
3 , 4FGL J0001.2-0747 , 8.397e-10 , 6.211e-11 , 9.440e-12 , 6.507e-13 , PowerLaw , 5.642e-10 , 2.216e-10 , 2.711e-11 , 7.647e-12 , 1.336e-12 , 1.495e-12 , 6.420e-13 , 3.848e-13
4 , 4FGL J0001.5+2113 , 9.679e-10 , 6.664e-11 , 1.926e-11 , 8.210e-13 , LogParabola , 9.530e-10 , 6.216e-11 , <8.847e-12 , <7.089e-12 , 2.075e-12 , 3.673e-13 , 1.594e-16 , 1.312e-17
5 , 4FGL J0001.6-4156 , 2.809e-10 , 3.807e-11 , 3.386e-12 , 4.914e-13 , PowerLaw , 1.550e-10 , 8.855e-11 , 2.510e-11 , 1.855e-11 , 3.785e-13 , 6.201e-13 , 6.131e-13 , 1.061e-12
6 , 4FGL J0002.1-6728 , 2.286e-10 , 3.461e-11 , 2.822e-12 , 4.332e-13 , PowerLaw , 1.478e-10 , 5.844e-11 , 3.402e-11 , 7.833e-12 , 3.623e-13 , 4.108e-13 , 8.337e-13 , 4.542e-13
7 , 4FGL J0002.1+6721 , 6.925e-10 , 1.079e-10 , 6.185e-12 , 1.625e-12 , LogParabola , 6.243e-10 , 6.659e-11 , <6.646e-12 , <3.732e-12 , 1.385e-12 , 3.835e-13 , 4.082e-16 , 3.485e-18
8 , 4FGL J0002.8+6217 , 2.569e-9 , 1.259e-10 , 1.861e-11 , 1.506e-12 , PLSuperExpCutoff , 2.126e-9 , 3.292e-10 , 1.707e-12 , <3.435e-12 , 4.900e-12 , 1.862e-12 , 3.236e-14 , 4.523e-17
9 , 4FGL J0003.1-5248 , 3.008e-10 , 4.024e-11 , 3.597e-12 , 4.894e-13 , PowerLaw , 1.804e-10 , 8.178e-11 , 3.183e-11 , 1.175e-11 , 4.402e-13 , 5.719e-13 , 7.766e-13 , 6.687e-13
10 , 4FGL J0003.2+2207 , 1.452e-10 , 3.734e-11 , 1.732e-12 , 5.318e-13 , PowerLaw , 1.705e-11 , 6.387e-11 , 3.360e-12 , <4.837e-12 , 3.988e-14 , 4.246e-13 , 7.859e-14 , 5.136e-19
11 , 4FGL J0003.3+2511 , 1.955e-10 , 4.043e-11 , 2.248e-12 , 4.539e-13 , PowerLaw , 2.123e-10 , 3.844e-11 , 7.317e-12 , <6.668e-12 , 4.997e-13 , 2.575e-13 , 1.723e-13 , 3.006e-15
12 , 4FGL J0003.3-1928 , 3.903e-10 , 4.901e-11 , 2.591e-12 , 4.292e-13 , LogParabola , 3.090e-10 , 7.021e-11 , 4.167e-12 , <4.956e-12 , 7.198e-13 , 4.291e-13 , 8.555e-14 , 6.151e-17
13 , 4FGL J0003.3-5905 , 1.312e-10 , 2.774e-11 , 1.676e-12 , 3.413e-13 , PowerLaw , 1.131e-10 , 3.917e-11 , <6.120e-12 , <4.050e-12 , 2.623e-13 , 2.578e-13 , 4.529e-17 , 4.008e-17
14 , 4FGL J0003.6+3059 , 4.434e-10 , 5.667e-11 , 2.080e-12 , 3.299e-13 , LogParabola , 3.796e-10 , 5.304e-11 , 4.056e-12 , <5.027e-12 , 9.022e-13 , 3.054e-13 , 7.688e-14 , 1.228e-16
15 , 4FGL J0003.9-1149 , 2.871e-10 , 4.050e-11 , 3.211e-12 , 4.420e-13 , PowerLaw , 2.604e-10 , 6.355e-11 , 1.311e-11 , <6.165e-12 , 6.178e-13 , 4.298e-13 , 3.110e-13 , 1.281e-21
16 , 4FGL J0004.0+5715 , 3.784e-10 , 5.555e-11 , 5.195e-12 , 8.270e-13 , PowerLaw , 3.395e-10 , 8.677e-11 , <7.834e-12 , <3.972e-12 , 7.818e-13 , 5.663e-13 , 1.184e-14 , 3.640e-17
17 , 4FGL J0004.0+0840 , 2.233e-10 , 4.134e-11 , 2.487e-12 , 4.601e-13 , PowerLaw , 1.640e-10 , 8.056e-11 , 3.020e-12 , 1.344e-12 , 3.902e-13 , 5.465e-13 , 7.184e-14 , 6.890e-14
18 , 4FGL J0004.4-4737 , 4.857e-10 , 4.382e-11 , 6.513e-12 , 4.719e-13 , PowerLaw , 4.013e-10 , 9.122e-11 , 5.860e-12 , <4.388e-12 , 9.263e-13 , 5.969e-13 , 1.353e-13 , 4.064e-17
19 , 4FGL J0004.4-4001 , 1.607e-10 , 3.172e-11 , 2.177e-12 , 4.411e-13 , PowerLaw , 1.377e-10 , 2.904e-11 , 4.101e-12 , 1.760e-12 , 3.176e-13 , 1.898e-13 , 9.456e-14 , 7.989e-14
20 , 4FGL J0005.6+6746c , 4.035e-10 , 8.516e-11 , 7.058e-12 , 1.701e-12 , PowerLaw , 4.584e-10 , 4.184e-11 , 3.629e-12 , <3.803e-12 , 1.037e-12 , 2.673e-13 , 8.206e-14 , 1.537e-17
21 , 4FGL J0005.9+3824 , 4.541e-10 , 4.877e-11 , 8.359e-12 , 6.580e-13 , PowerLaw , 3.945e-10 , 3.640e-11 , 4.493e-13 , <5.520e-12 , 8.893e-13 , 2.316e-13 , 1.013e-14 , 1.885e-17
22 , 4FGL J0006.3-0620 , 1.259e-10 , 3.345e-11 , 1.425e-12 , 3.817e-13 , PowerLaw , 6.737e-11 , 4.044e-11 , 6.356e-12 , <6.492e-12 , 1.592e-13 , 2.721e-13 , 1.502e-13 , 2.415e-17
23 , 4FGL J0006.4+0135 , 1.769e-10 , 3.730e-11 , 1.969e-12 , 4.169e-13 , PowerLaw , 1.308e-10 , 4.819e-11 , 1.092e-11 , <6.003e-12 , 3.114e-13 , 3.272e-13 , 2.600e-13 , 1.757e-16
24 , 4FGL J0006.6+4618 , 2.040e-10 , 3.892e-11 , 3.083e-12 , 6.666e-13 , PowerLaw , 1.129e-10 , 5.309e-11 , 7.604e-12 , <5.213e-12 , 2.579e-13 , 3.433e-13 , 1.737e-13 , 1.272e-18
25 , 4FGL J0007.0+7303 , 6.694e-8 , 4.799e-10 , 4.322e-10 , 3.454e-12 , PLSuperExpCutoff , 4.970e-8 , 1.540e-8 , 1.452e-9 , 5.329e-11 , 1.211e-10 , 9.896e-11 , 2.947e-11 , 1.481e-12
26 , 4FGL J0007.7+4008 , 3.635e-10 , 4.471e-11 , 4.096e-12 , 4.987e-13 , PowerLaw , 2.418e-10 , 1.145e-10 , 1.122e-11 , <4.102e-12 , 5.723e-13 , 7.721e-13 , 2.656e-13 , 5.843e-17
