id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , Significance , 1-100 GeV Flux (ph cm-2 s-1) , 1-100 GeV Flux Error (ph cm-2 s-1) , Spectrum Type , PL Flux Density (cm-2 MeV-1 s-1) , PL Flux Density Error (cm-2 MeV-1 s-1) , Power Law Index , Flux 100-300 MeV (ph/cm2/s) , Flux 300-1000 MeV (ph/cm2/s) , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 50-100 MeV (erg /cm2/s) , NuFNu 100-300 MeV (erg /cm2/s) , NuFNu 300-1000 MeV (erg /cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s) , Class , Low confidence Class
1 , 4FGL J0000.3-7355 , 00 00 23.59 , -73 55 19.19 ,  , 7.3996015 , 1.719e-10 , 3.110e-11 , PowerLaw , 2.948e-14 , 5.332e-15 , 2.119125 , <1.895e-9 , 4.787e-10 , 1.242e-10 , 4.543e-11 , 1.034e-11 , <3.998e-12 , 1.210e-12 , 3.578e-15 , 3.241e-13 , 2.951e-13 , 3.075e-13 , 2.455e-13 , 9.260e-17 ,  , 
2 , 4FGL J0001.2+4741 , 00 01 15.02 , +47 41 09.23 ,  , 4.19693 , 1.425e-10 , 3.706e-11 , PowerLaw , 2.582e-14 , 6.712e-15 , 2.1983633 , <2.282e-9 , 5.593e-10 , 1.244e-10 , 2.557e-11 , 3.477e-12 , 2.710e-12 , 1.137e-14 , 1.763e-16 , 3.752e-13 , 2.931e-13 , 1.715e-13 , 8.194e-14 , 1.337e-13 , bcu , 
3 , 4FGL J0001.2-0747 , 00 01 15.62 , -07 47 49.56 ,  , 22.748436 , 8.397e-10 , 6.211e-11 , PowerLaw , 5.775e-13 , 3.850e-14 , 2.1483262 , 6.873e-9 , 2.662e-9 , 5.642e-10 , 2.216e-10 , 2.711e-11 , 7.647e-12 , 1.347e-12 , 1.628e-12 , 1.796e-12 , 1.336e-12 , 1.495e-12 , 6.420e-13 , 3.848e-13 , bll , 
4 , 4FGL J0001.5+2113 , 00 01 31.56 , +21 13 05.87 ,  , 30.666046 , 9.679e-10 , 6.664e-11 , LogParabola , 2.457e-11 , 9.655e-13 , 2.6801705 , 3.663e-8 , 7.971e-9 , 9.530e-10 , 6.216e-11 , <8.847e-12 , <7.089e-12 , 9.694e-12 , 8.493e-12 , 5.048e-12 , 2.075e-12 , 3.673e-13 , 1.594e-16 , 1.312e-17 , fsrq , 
5 , 4FGL J0001.6-4156 , 00 01 39.95 , -41 56 33.0 ,  , 11.464017 , 2.809e-10 , 3.807e-11 , PowerLaw , 2.437e-14 , 3.284e-15 , 1.8335938 , 2.937e-9 , 2.982e-10 , 1.550e-10 , 8.855e-11 , 2.510e-11 , 1.855e-11 , 1.661e-12 , 7.174e-13 , 2.088e-13 , 3.785e-13 , 6.201e-13 , 6.131e-13 , 1.061e-12 , bcu , 
6 , 4FGL J0002.1-6728 , 00 02 09.07 , -67 28 28.55 ,  , 11.558185 , 2.286e-10 , 3.461e-11 , PowerLaw , 1.312e-14 , 1.939e-15 , 1.8019888 , 7.102e-10 , 1.888e-10 , 1.478e-10 , 5.844e-11 , 3.402e-11 , 7.833e-12 , 3.099e-12 , 1.741e-13 , 1.327e-13 , 3.623e-13 , 4.108e-13 , 8.337e-13 , 4.542e-13 , bcu , 
7 , 4FGL J0002.1+6721 , 00 02 10.05 , +67 21 28.07 ,  , 6.701878 , 6.925e-10 , 1.079e-10 , LogParabola , 4.417e-13 , 7.542e-14 , 2.600463 , 8.817e-9 , 2.263e-9 , 6.243e-10 , 6.659e-11 , <6.646e-12 , <3.732e-12 , 2.778e-12 , 2.301e-12 , 1.553e-12 , 1.385e-12 , 3.835e-13 , 4.082e-16 , 3.485e-18 , unk , 
8 , 4FGL J0002.8+6217 , 00 02 52.82 , +62 17 25.8 ,  , 27.668653 , 2.569e-9 , 1.259e-10 , PLSuperExpCutoff , 1.525e-12 , 7.323e-14 , 2.4731266 , 7.734e-9 , 7.763e-9 , 2.126e-9 , 3.292e-10 , 1.707e-12 , <3.435e-12 , 4.683e-15 , 1.963e-12 , 5.483e-12 , 4.900e-12 , 1.862e-12 , 3.236e-14 , 4.523e-17 , PSR , 
9 , 4FGL J0003.1-5248 , 00 03 07.6 , -52 48 25.55 ,  , 13.530244 , 3.008e-10 , 4.024e-11 , PowerLaw , 2.085e-14 , 2.738e-15 , 1.845431 , 3.068e-9 , 4.323e-10 , 1.804e-10 , 8.178e-11 , 3.183e-11 , 1.175e-11 , 3.819e-15 , 7.485e-13 , 3.023e-13 , 4.402e-13 , 5.719e-13 , 7.766e-13 , 6.687e-13 , bcu , 
10 , 4FGL J0003.2+2207 , 00 03 13.39 , +22 07 48.71 ,  , 4.199248 , 1.452e-10 , 3.734e-11 , PowerLaw , 2.685e-14 , 6.890e-15 , 2.275706 , 5.671e-9 , 5.781e-10 , 1.705e-11 , 6.387e-11 , 3.360e-12 , <4.837e-12 , 2.024e-12 , 1.326e-12 , 3.843e-13 , 3.988e-14 , 4.246e-13 , 7.859e-14 , 5.136e-19 , bll , 
