id , BZCAT5 Source name , Source classification
1 , 5BZQJ0000-3221 , FSRQ
2 , 5BZQJ0001-1551 , FSRQ
3 , 5BZQJ0001+1914 , FSRQ
4 , 5BZBJ0001-0746 , BL Lac
5 , 5BZBJ0001-0011 , BL Lac
6 , 5BZGJ0001-1031 , BL Lac-galaxy dominated
7 , 5BZBJ0002-0024 , BL Lac
8 , 5BZQJ0003+2129 , FSRQ
9 , 5BZBJ0004-1148 , BL Lac
10 , 5BZQJ0004+4615 , FSRQ
11 , 5BZQJ0004-4736 , FSRQ
12 , 5BZQJ0004+2019 , FSRQ
13 , 5BZQJ0005-1648 , FSRQ
14 , 5BZQJ0005+0524 , FSRQ
15 , 5BZQJ0005+3820 , FSRQ
16 , 5BZBJ0006-0623 , BL Lac
17 , 5BZQJ0006-4245 , FSRQ
18 , 5BZGJ0006+1051 , BL Lac-galaxy dominated
19 , 5BZQJ0006+2422 , FSRQ
20 , 5BZQJ0007-6113 , FSRQ
21 , 5BZBJ0007+4712 , BL Lac
22 , 5BZQJ0008-2339 , FSRQ
23 , 5BZBJ0008-2339 , BL Lac
24 , 5BZQJ0008-4619 , FSRQ
25 , 5BZBJ0009+0628 , BL Lac
26 , 5BZQJ0009+0625 , FSRQ
27 , 5BZBJ0009+5030 , BL Lac
28 , 5BZQJ0010+2047 , FSRQ
29 , 5BZQJ0010+1058 , FSRQ
30 , 5BZQJ0010+1724 , FSRQ
31 , 5BZQJ0010-3027 , FSRQ
32 , 5BZQJ0010-2945 , FSRQ
33 , 5BZQJ0011-2612 , FSRQ
34 , 5BZQJ0011-3620 , FSRQ
35 , 5BZQJ0011+0057 , FSRQ
36 , 5BZGJ0012-1628 , BL Lac-galaxy dominated
37 , 5BZQJ0012+3353 , FSRQ
38 , 5BZBJ0012-3954 , BL Lac
39 , 5BZQJ0013-1513 , FSRQ
40 , 5BZQJ0013-0423 , FSRQ
41 , 5BZGJ0013-1854 , BL Lac-galaxy dominated
42 , 5BZBJ0013+1910 , BL Lac
43 , 5BZBJ0014-5022 , BL Lac
44 , 5BZGJ0014+0854 , BL Lac-galaxy dominated
