id , 3HSP Source name , BZcat name , R.A. , Dec , NVSS/FIRSTflux density(mJy) , Redshift , X-ray flux d. @ 1keV (μJy) , Log(peak flux) , FOM , γ-ray counterpart , Fermi γ-ray slope , 2WHSP name
1 , 3HSPJ000116.4+293534 ,  , 0.31821 , 29.59278 , 4 , 0.58 ,  , -12.9? , 0.05 ,  ,  , 2WHSPJ000116.3+293534
2 , 3HSPJ000117.1-315043 ,  , 0.32117 , -31.84528 , 7.2 , 0.45 , 0.23 , -12.3? , 0.2 ,  ,  , 2WHSPJ000116.9-315043
3 , 3HSPJ000132.7-415525 ,  , 0.38642 , -41.92361 , 13.2 ,  , 0.34 , -11.7 , 0.79 ,  , 2.09 , 2WHSPJ000132.6-415524
4 , 3HSPJ000158.1-115047 ,  , 0.49225 , -11.84639 , 3.3 , 0.53 , 0.11 , -12.5 , 0.13 ,  ,  , 2WHSPJ000158.0-115047
5 , 3HSPJ000215.2-672653 ,  , 0.56329 , -67.44806 , 21.4 , 0.52 , 0.27 , -11.8 , 0.63 ,  , 1.95 , 2WHSPJ000215.1-672653
6 , 3HSPJ000236.1-081532 ,  , 0.65025 , -8.25889 , 29 , 0.39 , 0.19 , -12.3 , 0.2 ,  ,  , 2WHSPJ000236.0-081532
7 , 3HSPJ000319.6-524727 ,  , 0.8315 , -52.79083 , 65.3 , 0.37 , 0.64 , -11.9 , 0.5 ,  , 1.9 , 2WHSPJ000319.5-524726
8 , 3HSPJ000513.7-261438 ,  , 1.30717 , -26.24389 , 37.4 , 0.32 ,  , -12.6 , 0.1 ,  ,  , 2WHSPJ000513.6-261438
9 , 3HSPJ000553.0-284503 ,  , 1.47079 , -28.75083 , 5 , 0.57 , 0.07 , -12.5 , 0.13 ,  ,  , 2WHSPJ000552.9-284502
10 , 3HSPJ000626.9+013610 ,  , 1.61208 , 1.60278 , 7.5 , 0.787 , 0.12 , -12.6 , 0.1 ,  , 2.19 , 2WHSPJ000626.8+013610
11 , 3HSPJ000701.6+510500 ,  , 1.75663 , 51.08333 , 4.4 , 0.47 , 0.15 , -12.4 , 0.16 ,  ,  , 2WHSPJ000701.5+510459
12 , 3HSPJ000835.4-233927 , 5BZBJ0008-2339 , 2.14742 , -23.6575 , 36.3 , 0.147 , 0.47 , -11.7 , 0.79 ,  , 1.6 , 2WHSPJ000835.2-233926
13 , 3HSPJ000922.7+503028 , 5BZBJ0009+5030 , 2.34479 , 50.50778 , 12.3 , 0.25 , 0.16 , -11.8 , 0.63 , 2FHL J0009.3+5031 , 1.93 , 2WHSPJ000922.6+503028
14 , 3HSPJ000949.7-431650 ,  , 2.45729 , -43.28056 , 51 , 0.23 , 0.31 , -12 , 0.4 ,  , 2.1 , 2WHSPJ000949.6-431650
15 , 3HSPJ000957.2+134058 ,  , 2.48842 , 13.68278 , 18.6 , 0.43 , 0.29 , -12.1 , 0.32 ,  ,  , 2WHSPJ000957.1+134058
16 , 3HSPJ001011.1+334851 ,  , 2.54875 , 33.81417 , 17.1 ,  , 0.22 , -11.9 , 0.5 ,  ,  , 2WHSPJ001011.7+334851
17 , 3HSPJ001042.7-130817 ,  , 2.67779 , -13.13806 , 2.7 , 0.53 , 0.06 , -12.6 , 0.1 ,  ,  , 2WHSPJ001042.6-130817
18 , 3HSPJ001253.9-162656 ,  , 3.22442 , -16.44889 , 10.1 , 0.35 , 0.08 , -12.3 , 0.2 ,  ,  , 2WHSPJ001253.8-162656
19 , 3HSPJ001328.1+094930 ,  , 3.37 , 9.825 , 31.1 , 0.29 , 0.7 , -11.8 , 0.63 ,  , 2.35 , 2WHSPJ001328.8+094929
20 , 3HSPJ001356.0-185406 , 5BZGJ0013-1854 , 3.4835 , -18.90167 , 29.6 , 0.094 , 2.02 , -11.3 , 2 ,  , 1.94 , 2WHSPJ001355.9-185406
21 , 3HSPJ001411.5-502234 , 5BZBJ0014-5022 , 3.54771 , -50.37611 , 15.1 , 0.01 , 1.12 , -11.6 , 1 ,  , 1.92 , 2WHSPJ001411.3-502233
22 , 3HSPJ001442.1+162126 ,  , 3.67533 , 16.35722 , 5.7 , 0.56 , 0.1 , -12.8? , 0.06 ,  ,  , 2WHSPJ001441.9+162125
23 , 3HSPJ001442.1+580201 , 5BZBJ0014+5802 , 3.67538 , 58.03361 , 7.7 , 0.35 , 0.85 , -11.7? , 0.79 ,  , 1.91 , 
24 , 3HSPJ001528.0+353639 , 5BZBJ0015+3536 , 3.86654 , 35.61083 , 11.2 , 0.43 , 0.52 , -12 , 0.4 ,  , 1.98 , 2WHSPJ001527.8+353638
25 , 3HSPJ001540.1+555144 ,  , 3.91721 , 55.86222 , 85 , 0.15 , 1.1 , -11.2 , 2.51 ,  , 2.11 , 
26 , 3HSPJ001541.9+121845 ,  , 3.92442 , 12.3125 , 6.8 , 0.35 , 0.14 , -12.4 , 0.16 ,  ,  , 2WHSPJ001541.8+121845
27 , 3HSPJ001827.8+294730 , 5BZBJ0018+2947 , 4.61579 , 29.79167 , 33.8 , 0.1 , 1.27 , -11.4 , 1.58 , 2FHL J0018.5+2947 , 1.86 , 2WHSPJ001827.7+294730
28 , 3HSPJ001916.0+053148 ,  , 4.81754 , 5.53 , 4 , 0.467 , 0.06 , -12.9? , 0.05 ,  ,  , 2WHSPJ001916.1+053148
29 , 3HSPJ002200.1-514024 , 5BZBJ0022-5140 , 5.50033 , -51.67333 , 20 , 0.25 , 0.65 , -11.2 , 2.51 ,  , 1.99 , 2WHSPJ002200.0-514023
