id , BZCAT5 Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
1 , 5BZQJ0000-3221 , 0.08496 , -32.35028 , 1.275 ,  , 18.2 , 7211 , 521 ,  , 0.05 , 
2 , 5BZQJ0001-1551 , 0.27208 , -15.85194 , 2.044 ,  , 18.1 , 7211 , 348 ,  ,  , 
3 , 5BZQJ0001+1914 , 0.28592 , 19.24283 , 3.1 ,  , 21.6 , 7211 , 265 ,  ,  , 
4 , 5BZBJ0001-0746 , 0.32504 , -7.77408 ,  ,  , 17.9 , 7300 , 208 ,  , 0.35 , 5e-10
5 , 5BZBJ0001-0011 , 0.33954 , -0.19442 , 0.462 ,  ?  , 19.6 , 7300 , 111 ,  ,  , 
6 , 5BZGJ0001-1031 , 0.48858 , -10.52147 , 0.252 ,  , 17.8 , 7309 , 41 ,  ,  , 
7 , 5BZBJ0002-0024 , 0.73817 , -0.41308 , 0.523 ,  , 19.7 , 7300 , 178 ,  ,  , 
8 , 5BZQJ0003+2129 , 0.83058 , 21.49572 , 0.45 ,  , 20.1 , 7211 , 83 ,  ,  , 
9 , 5BZBJ0004-1148 , 1.02033 , -11.81611 ,  ,  , 18.8 , 7300 , 459 , 308 ,  , 
10 , 5BZQJ0004+4615 , 1.06738 , 46.25506 , 1.81 ,  , 20.4 , 7211 , 120 ,  ,  , 
11 , 5BZQJ0004-4736 , 1.1485 , -47.60542 , 0.884 ,  , 15.9 , 7211 , 909 ,  , 0.85 , 9e-10
12 , 5BZQJ0004+2019 , 1.14896 , 20.3285 , 0.677 ,  , 21.6 , 7211 , 55 ,  ,  , 
13 , 5BZQJ0005-1648 , 1.32471 , -16.80131 , 0.78 ,  , 18.4 , 7211 , 263 ,  , 0.44 , 
14 , 5BZQJ0005+0524 , 1.33421 , 5.40303 , 1.9 ,  , 16.2 , 7211 , 127 ,  , 0.26 , 
15 , 5BZQJ0005+3820 , 1.48825 , 38.33756 , 0.229 ,  , 17.6 , 7211 , 572 , 685 , 0.75 , 1e-9
16 , 5BZBJ0006-0623 , 1.55788 , -6.39311 , 0.347 ,  , 17.9 , 7300 , 2051 , 1212 , 0.82 , 
17 , 5BZQJ0006-4245 , 1.58221 , -42.75517 , 1.77 ,  ?  , 18.5 , 7211 , 246 ,  ,  , 
18 , 5BZGJ0006+1051 , 1.58454 , 10.86436 , 0.168 ,  , 15.6 , 7309 , 12 ,  , 1.72 , 
19 , 5BZQJ0006+2422 , 1.70329 , 24.37681 , 1.684 ,  , 18.8 , 7211 , 184 ,  ,  , 
20 , 5BZQJ0007-6113 , 1.83575 , -61.21842 , 0.857 ,  , 19.3 , 7211 , 87 ,  ,  , 
21 , 5BZBJ0007+4712 , 1.99988 , 47.20214 , 0.28 ,  ?  , 18.2 , 7300 , 60 ,  , 0.53 , 2.1e-9
22 , 5BZQJ0008-2339 , 2.00154 , -23.65497 , 1.412 ,  , 15.8 , 7211 , 375 ,  , 0.3 , 
23 , 5BZBJ0008-2339 , 2.14742 , -23.65772 , 0.147 ,  , 16.8 , 7300 , 36 ,  , 2.42 , 3e-10
24 , 5BZQJ0008-4619 , 2.15642 , -46.328 , 1.85 ,  , 16.6 , 7211 , 109 ,  ,  , 
25 , 5BZBJ0009+0628 , 2.26633 , 6.47261 ,  ,  , 18.9 , 7300 , 247 ,  , 0.55 , 5e-10
26 , 5BZQJ0009+0625 , 2.32104 , 6.43186 , 2.694 ,  , 19 , 7211 , 180 ,  , 0.08 , 5e-10
27 , 5BZBJ0009+5030 , 2.34488 , 50.50794 ,  ,  , 19.4 , 7300 , 12 ,  , 0.24 , 2.2e-9
28 , 5BZQJ0010+2047 , 2.61979 , 20.79725 , 0.6 ,  , 19.3 , 7211 , 159 ,  , 0.51 , 
29 , 5BZQJ0010+1058 , 2.62917 , 10.97489 , 0.089 ,  , 15.8 , 7211 , 98 , 1404 , 6.14 , 
30 , 5BZQJ0010+1724 , 2.64163 , 17.40528 , 1.601 ,  , 16.7 , 7211 , 918 ,  , 0.65 , 
31 , 5BZQJ0010-3027 , 2.64883 , -30.46317 , 1.19 ,  , 18.8 , 7211 , 315 ,  , 0.17 , 
32 , 5BZQJ0010-2945 , 2.68825 , -29.75367 , 2.344 ,  , 18.8 , 7211 , 404 ,  ,  , 
33 , 5BZQJ0011-2612 , 2.75508 , -26.20889 , 1.096 ,  , 18.8 , 7211 , 210 ,  ,  , 
34 , 5BZQJ0011-3620 , 2.81133 , -36.34428 , 2.324 ,  , 21.3 , 7211 , 66 ,  , 0.02 , 
35 , 5BZQJ0011+0057 , 2.87667 , 0.96444 , 1.492 ,  , 20.7 , 7211 , 167 ,  , 0.28 , 5e-10
36 , 5BZGJ0012-1628 , 3.14108 , -16.46869 , 0.151 ,  , 15 , 7309 , 94 ,  , 0.9 , 
37 , 5BZQJ0012+3353 , 3.19733 , 33.89406 , 1.682 ,  , 20.4 , 7211 , 81 ,  ,  , 
38 , 5BZBJ0012-3954 , 3.2495 , -39.90717 ,  ,  , 18.9 , 7300 , 494 , 257 ,  , 5e-10
39 , 5BZQJ0013-1513 , 3.33625 , -15.22978 , 1.838 ,  , 19.2 , 7211 , 117 ,  ,  , 
40 , 5BZQJ0013-0423 , 3.47546 , -4.39781 , 1.075 ,  , 19.7 , 7211 , 303 ,  , 0.3 , 
41 , 5BZGJ0013-1854 , 3.4835 , -18.90181 , 0.095 ,  , 13.4 , 7309 , 29 ,  , 6.49 , 
42 , 5BZBJ0013+1910 , 3.48483 , 19.17833 , 0.477 ,  , 17.7 , 7300 , 161 ,  ,  , 
43 , 5BZBJ0014-5022 , 3.54763 , -50.37636 ,  ,  , 18.7 , 7300 , 13 ,  , 6.98 , 6e-10
44 , 5BZGJ0014+0854 , 3.58233 , 8.90039 , 0.162 ,  , 17.2 , 7309 , 324 ,  , 0.67 , 
45 , 5BZQJ0014-3059 , 3.65813 , -30.98867 , 2.785 ,  , 19.3 , 7211 , 193 ,  , 0.12 , 
46 , 5BZBJ0014+5802 , 3.67554 , 58.03367 ,  ,  , 19 , 7300 , 8 ,  , 1.28 , 
47 , 5BZQJ0015-1812 , 3.76033 , -18.21408 , 0.743 ,  , 19.6 , 7211 , 387 ,  , 0.48 , 
48 , 5BZBJ0015+3536 , 3.86654 , 35.611 ,  ,  , 19.8 , 7300 , 11 ,  , 1.42 , 
49 , 5BZQJ0015+1700 , 3.91658 , 17.01139 , 1.709 ,  , 21 , 7211 , 135 ,  ,  , 5e-10
50 , 5BZQJ0016-0015 , 4.04621 , -0.25344 , 1.577 ,  , 19.9 , 7211 , 1086 ,  , 0.23 , 4e-10
51 , 5BZQJ0017+8135 , 4.28525 , 81.58561 , 3.387 ,  , 15.9 , 7211 , 693 ,  , 0.77 , 
52 , 5BZQJ0017-0512 , 4.39921 , -5.21156 , 0.227 ,  , 17.6 , 7211 , 174 ,  , 0.8 , 1.4e-9
