id , Source Name , RA (J2000.0) , Dec (J2000.0) , Extended source name , 0.1-100 GeV Energy Flux Error (erg cm-2 s-1) , Spectrum Type , Power Law Index , Flux 50-100 MeV (ph/cm2/s) , Flux 100-300 MeV (ph/cm2/s) , Flux 300-1000 MeV (ph/cm2/s) , Flux 1-3 GeV (ph/cm2/s) , Flux 3-10 GeV (ph/cm2/s) , Flux 10-30 GeV (ph/cm2/s) , Flux 30-300 GeV (ph/cm2/s) , NuFNu 50-100 MeV (erg /cm2/s) , NuFNu 100-300 MeV (erg /cm2/s) , NuFNu 300-1000 MeV (erg /cm2/s) , NuFNu 1-3 GeV (erg /cm2/s) , NuFNu 3-10 GeV (erg /cm2/s) , NuFNu 10-30 GeV (erg /cm2/s) , NuFNu 30-300 GeV (erg /cm2/s) , Signif. Peak , Flux Peak (ph/cm2/s) , Flux Peak Error (ph/cm2/s) , Previous Fermi Association , Other Gamma Catalog Associations , TeVCat Flag , TeV Assoc. Name , Class , Association , Assoc. Probability , R.A. Counterpart , Dec. Counterpart , Counterpart Error
1 , 4FGL J0000.3-7355 , 0.0983 , -73.922 ,  , 3.520e-13 , PowerLaw , 2.119125 , 7.588e-9 , <1.895e-9 , 4.787e-10 , 1.242e-10 , 4.543e-11 , 1.034e-11 , <3.998e-12 , 1.210e-12 , 3.578e-15 , 3.241e-13 , 2.951e-13 , 3.075e-13 , 2.455e-13 , 9.260e-17 ,  ,  ,  ,  ,  , N ,  ,  ,  , 0 ,  ,  , 
2 , 4FGL J0001.2+4741 , 0.3126 , 47.6859 ,  , 4.481e-13 , PowerLaw , 2.1983633 , <2.319e-8 , <2.282e-9 , 5.593e-10 , 1.244e-10 , 2.557e-11 , 3.477e-12 , 2.710e-12 , 1.137e-14 , 1.763e-16 , 3.752e-13 , 2.931e-13 , 1.715e-13 , 8.194e-14 , 1.337e-13 ,  ,  ,  ,  ,  , N ,  , bcu , B3 2358+474 , 0.99609655 , 0.3293408 , 47.7002009361 , 0.00000084
3 , 4FGL J0001.2-0747 , 0.3151 , -7.7971 ,  , 6.507e-13 , PowerLaw , 2.1483262 , 8.460e-9 , 6.873e-9 , 2.662e-9 , 5.642e-10 , 2.216e-10 , 2.711e-11 , 7.647e-12 , 1.347e-12 , 1.628e-12 , 1.796e-12 , 1.336e-12 , 1.495e-12 , 6.420e-13 , 3.848e-13 ,  ,  ,  , 3FGL J0001.2-0748 ,  , N ,  , bll , PMN J0001-0746 , 0.99701446 , 0.3251038 , -7.774144975 , 0.00000018
4 , 4FGL J0001.5+2113 , 0.3815 , 21.2183 ,  , 8.210e-13 , LogParabola , 2.6801705 , 6.076e-8 , 3.663e-8 , 7.971e-9 , 9.530e-10 , 6.216e-11 , <8.847e-12 , <7.089e-12 , 9.694e-12 , 8.493e-12 , 5.048e-12 , 2.075e-12 , 3.673e-13 , 1.594e-16 , 1.312e-17 , 36.357975 , 0.00000020457098 , 0.0000000069757986 , 3FGL J0001.4+2120 ,  , N ,  , fsrq , TXS 2358+209 , 0.9980486 , 0.3848771 , 21.2267429583 , 0.00000034
5 , 4FGL J0001.6-4156 , 0.4165 , -41.9425 ,  , 4.914e-13 , PowerLaw , 1.8335938 , 1.030e-8 , 2.937e-9 , 2.982e-10 , 1.550e-10 , 8.855e-11 , 2.510e-11 , 1.855e-11 , 1.661e-12 , 7.174e-13 , 2.088e-13 , 3.785e-13 , 6.201e-13 , 6.131e-13 , 1.061e-12 ,  ,  ,  , 3FGL J0002.2-4152 ,  , N ,  , bcu , 1RXS J000135.5-415519 , 0.9963356 , 0.386479595833 , -41.9237053972 , 0.000069
6 , 4FGL J0002.1-6728 , 0.5378 , -67.4746 ,  , 4.332e-13 , PowerLaw , 1.8019888 , 1.919e-8 , 7.102e-10 , 1.888e-10 , 1.478e-10 , 5.844e-11 , 3.402e-11 , 7.833e-12 , 3.099e-12 , 1.741e-13 , 1.327e-13 , 3.623e-13 , 4.108e-13 , 8.337e-13 , 4.542e-13 ,  ,  ,  , 3FGL J0002.0-6722 ,  , N ,  , bcu , SUMSS J000215-672653 , 0.9966394 , 0.563303229167 , -67.4481760667 , 0.000016
7 , 4FGL J0002.1+6721 , 0.5419 , 67.3578 ,  , 1.625e-12 , LogParabola , 2.600463 , 1.635e-8 , 8.817e-9 , 2.263e-9 , 6.243e-10 , 6.659e-11 , <6.646e-12 , <3.732e-12 , 2.778e-12 , 2.301e-12 , 1.553e-12 , 1.385e-12 , 3.835e-13 , 4.082e-16 , 3.485e-18 ,  ,  ,  ,  ,  , N ,  , unk , 1RXS J000209.4+672503 , 0 , 0.5391738414764404 , 67.41764068603516 , 0.00045
8 , 4FGL J0002.8+6217 , 0.7201 , 62.2905 ,  , 1.506e-12 , PLSuperExpCutoff , 2.4731266 , <4.019e-8 , 7.734e-9 , 7.763e-9 , 2.126e-9 , 3.292e-10 , 1.707e-12 , <3.435e-12 , 4.683e-15 , 1.963e-12 , 5.483e-12 , 4.900e-12 , 1.862e-12 , 3.236e-14 , 4.523e-17 ,  ,  ,  , 3FGL J0002.6+6218 ,  , N ,  , PSR , PSR J0002+6216 , 1 , 0.7421860098838806 , 62.26932907104492 , 0.000031734315
9 , 4FGL J0003.1-5248 , 0.7817 , -52.8071 ,  , 4.894e-13 , PowerLaw , 1.845431 , <2.217e-8 , 3.068e-9 , 4.323e-10 , 1.804e-10 , 8.178e-11 , 3.183e-11 , 1.175e-11 , 3.819e-15 , 7.485e-13 , 3.023e-13 , 4.402e-13 , 5.719e-13 , 7.766e-13 , 6.687e-13 ,  ,  ,  , 3FGL J0003.2-5246 ,  , N ,  , bcu , RBS 0006 , 0.9830022 , 0.8314999938011169 , -52.79094314575195 , 0.009
10 , 4FGL J0003.2+2207 , 0.8058 , 22.1302 ,  , 5.318e-13 , PowerLaw , 2.275706 , 1.277e-8 , 5.671e-9 , 5.781e-10 , 1.705e-11 , 6.387e-11 , 3.360e-12 , <4.837e-12 , 2.024e-12 , 1.326e-12 , 3.843e-13 , 3.988e-14 , 4.246e-13 , 7.859e-14 , 5.136e-19 ,  ,  ,  ,  ,  , N ,  , bll , 2MASX J00032450+2204559 ,  , 0.8521784543991089 , 22.0821533203125 , 0.0045
