Name,Class,A[deg],D[deg],ˆns,γˆ,-log10(plocal),φ90%
PKS2320-035,FSRQ,350.88,-3.29,4.8,3.6,0.45,3.3
3C454.3,FSRQ,343.50,16.15,5.4,2.2,0.62,5.1
TXS2241+406,FSRQ,341.06,40.96,3.8,3.8,0.42,5.6
RGBJ2243+203,BLL,340.99,20.36,0.0,3.0,0.33,3.1
CTA102,FSRQ,338.15,11.73,0.0,2.7,0.30,2.8
BLLac,BLL,330.69,42.28,0.0,2.7,0.31,4.9
OX169,FSRQ,325.89,17.73,2.0,1.7,0.69,5.1
B22114+33,BLL,319.06,33.66,0.0,3.0,0.30,3.9
PKS2032+107,FSRQ,308.85,10.94,0.0,2.4,0.33,3.2
2HWCJ2031+415,GAL,307.93,41.51,13.4,3.8,0.97,9.2
GammaCygni,GAL,305.56,40.26,7.4,3.7,0.59,6.9
MGROJ2019+37,GAL,304.85,36.80,0.0,3.1,0.33,4.0
MG2J201534+3710,FSRQ,303.92,37.19,4.4,4.0,0.40,5.6
MG4J200112+4352,BLL,300.30,43.89,6.1,2.3,0.67,7.8
1ES1959+650,BLL,300.01,65.15,12.6,3.3,0.77,12.3
1RXSJ194246.3+1,BLL,295.70,10.56,0.0,2.7,0.33,2.6
RXJ1931.1+0937,BLL,292.78,9.63,0.0,2.9,0.29,2.8
NVSSJ190836-012,UNIDB,287.20,-1.53,0.0,2.9,0.22,2.3
MGROJ1908+06,GAL,287.17,6.18,4.2,2.0,1.42,5.7
TXS1902+556,BLL,285.80,55.68,11.7,4.0,0.85,9.9
HESSJ1857+026,GAL,284.30,2.67,7.4,3.1,0.53,3.5
GRS1285.0,UNIDB,283.15,0.69,1.7,3.8,0.27,2.3
HESSJ1852-000,GAL,283.00,0.00,3.3,3.7,0.38,2.6
HESSJ1849-000,GAL,282.26,-0.02,0.0,3.0,0.28,2.2
HESSJ1843-033,GAL,280.75,-3.30,0.0,2.8,0.31,2.5
OT081,BLL,267.87,9.65,12.2,3.2,0.73,4.8
S41749+70,BLL,267.15,70.10,0.0,2.5,0.37,8.0
1H1720+117,BLL,261.27,11.88,0.0,2.7,0.30,3.2
PKS1717+177,BLL,259.81,17.75,19.8,3.6,1.32,7.3
Mkn501,BLL,253.47,39.76,10.3,4.0,0.61,7.3
4C+38.41,FSRQ,248.82,38.14,4.2,2.3,0.66,7.0
PG1553+113,BLL,238.93,11.19,0.0,2.8,0.32,3.2
GB6J1542+6129,BLL,235.75,61.50,29.7,3.0,2.74,22.0
B21520+31,FSRQ,230.55,31.74,7.1,2.4,0.83,7.3
PKS1502+036,AGN,226.26,3.44,0.0,2.7,0.28,2.9
PKS1502+106,FSRQ,226.10,10.50,0.0,3.0,0.33,2.6
PKS1441+25,FSRQ,220.99,25.03,7.5,2.4,0.94,7.3
PKS1424+240,BLL,216.76,23.80,41.5,3.9,2.80,12.3
NVSSJ141826-023,BLL,214.61,-2.56,0.0,3.0,0.25,2.0
B31343+451,FSRQ,206.40,44.88,0.0,2.8,0.32,5.0
S41250+53,BLL,193.31,53.02,2.2,2.5,0.39,5.9
PG1246+586,BLL,192.08,58.34,0.0,2.8,0.35,6.4
MG1J123931+0443,FSRQ,189.89,4.73,0.0,2.6,0.28,2.4
M87,AGN,187.71,12.39,0.0,2.8,0.29,3.1
ON246,BLL,187.56,25.30,0.9,1.7,0.37,4.2
3C273,FSRQ,187.27,2.04,0.0,3.0,0.28,1.9
4C+21.35,FSRQ,186.23,21.38,0.0,2.6,0.32,3.5
WComae,BLL,185.38,28.24,0.0,3.0,0.32,3.7
PG1218+304,BLL,185.34,30.17,11.1,3.9,0.70,6.7
PKS1216-010,BLL,184.64,-1.33,6.9,4.0,0.45,3.1
B21215+30,BLL,184.48,30.12,18.6,3.4,1.09,8.5
Ton599,FSRQ,179.88,29.24,0.0,2.2,0.29,4.5
PKSB1130+008,BLL,173.20,0.58,15.8,4.0,0.96,4.4
Mkn421,BLL,166.12,38.21,2.1,1.9,0.38,5.3
4C+01.28,BLL,164.61,1.56,0.0,2.9,0.26,2.4
1H1013+498,BLL,153.77,49.43,0.0,2.6,0.29,4.5
4C+55.17,FSRQ,149.42,55.38,11.9,3.3,1.02,10.6
M82,SBG,148.95,69.67,0.0,2.6,0.36,8.8
PMNJ0948+0022,AGN,147.24,0.37,9.3,4.0,0.76,3.9
OJ287,BLL,133.71,20.12,0.0,2.6,0.32,3.5
PKS0829+046,BLL,127.97,4.49,0.0,2.9,0.28,2.1
S40814+42,BLL,124.56,42.38,0.0,2.3,0.30,4.9
OJ014,BLL,122.87,1.78,16.1,4.0,0.99,4.4
1ES0806+524,BLL,122.46,52.31,0.0,2.8,0.31,4.7
PKS0736+01,FSRQ,114.82,1.62,0.0,2.8,0.26,2.4
PKS0735+17,BLL,114.54,17.71,0.0,2.8,0.30,3.5
4C+14.23,FSRQ,111.33,14.42,8.5,2.9,0.60,4.8
