id , BZCAT5 Source name , Other name , BZCAT name , RA (J2000.0) , Dec (J2000.0) , Redshift , Redshiftflag , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density 5.0GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
1 , 5BZQJ0000-3221 , PKS 2357-326  , BZQJ0000-3221  , 0.08496 , -32.35028 , 1.275 ,  , 18.2 , QSO RLoud flat radio sp. , 521 , 535 ,  , 0.05 , 
2 , 5BZQJ0001-1551 , PKS 2358-161  , BZQJ0001-1551  , 0.27208 , -15.85194 , 2.044 ,  , 18.1 , QSO RLoud flat radio sp. , 348 , 305 ,  ,  , 
3 , 5BZQJ0001+1914 , TEX 2358+189  , BZQJ0001+1914  , 0.28592 , 19.24283 , 3.1 ,  , 21.6 , QSO RLoud flat radio sp. , 265 , 233 ,  ,  , 
4 , 5BZBJ0001-0746 , CRATESJ000117-074633 , BZBJ0001-0746  , 0.32504 , -7.77408 ,  ,  , 17.9 , BL Lac , 208 , 148 ,  , 0.35 , 5e-10
5 , 5BZBJ0001-0011 , SDSSJ00013-0011 , BZBJ0001-0011  , 0.33954 , -0.19442 , 0.462 ,  ?  , 19.6 , BL Lac , 111 , 60 ,  ,  , 
6 , 5BZGJ0001-1031 , SDSSJ00019-1031  , BZBJ0001-1031  , 0.48858 , -10.52147 , 0.252 ,  , 17.8 , BL Lac-galaxy dominated , 41 ,  ,  ,  , 
7 , 5BZBJ0002-0024 , PKS0000-006  , BZBJ0002-0024  , 0.73817 , -0.41308 , 0.523 ,  , 19.7 , BL Lac , 178 , 113 ,  ,  , 
8 , 5BZQJ0003+2129 , GB6J0003+2129  , BZQJ0003+2129  , 0.83058 , 21.49572 , 0.45 ,  , 20.1 , QSO RLoud flat radio sp. , 83 , 293 ,  ,  , 
9 , 5BZBJ0004-1148 , CGRaBSJ0004-1148 ,  , 1.02033 , -11.81611 ,  ,  , 18.8 , BL Lac , 459 , 835 , 308 ,  , 
10 , 5BZQJ0004+4615 , 3EGJ0004+4615  , BZQJ0004+4615  , 1.06738 , 46.25506 , 1.81 ,  , 20.4 , QSO RLoud flat radio sp. , 120 , 211 ,  ,  , 
11 , 5BZQJ0004-4736 , PKS 0002-478  , BZQJ0004-4736  , 1.1485 , -47.60542 , 0.884 ,  , 15.9 , QSO RLoud flat radio sp. , 909 , 708 ,  , 0.85 , 9e-10
12 , 5BZQJ0004+2019 , CRATESJ000435+201933 , BZQJ0004+2019  , 1.14896 , 20.3285 , 0.677 ,  , 21.6 , QSO RLoud flat radio sp. , 55 , 151 ,  ,  , 
13 , 5BZQJ0005-1648 , 1RXSJ000517.0-164801 ,  , 1.32471 , -16.80131 , 0.78 ,  , 18.4 , QSO RLoud flat radio sp. , 263 , 407 ,  , 0.44 , 
14 , 5BZQJ0005+0524 , UM 18  , BZQJ0005+0524  , 1.33421 , 5.40303 , 1.9 ,  , 16.2 , QSO RLoud flat radio sp. , 127 , 303 ,  , 0.26 , 
15 , 5BZQJ0005+3820 , S40003+380  , BZQJ0005+3820  , 1.48825 , 38.33756 , 0.229 ,  , 17.6 , QSO RLoud flat radio sp. , 572 , 568 , 685 , 0.75 , 1e-9
16 , 5BZBJ0006-0623 , PKS0003-066  , BZQJ0006-0623  , 1.55788 , -6.39311 , 0.347 ,  , 17.9 , BL Lac , 2051 , 2463 , 1212 , 0.82 , 
17 , 5BZQJ0006-4245 , Q 0003-4302  ,  , 1.58221 , -42.75517 , 1.77 ,  ?  , 18.5 , QSO RLoud flat radio sp. , 246 , 133 ,  ,  , 
18 , 5BZGJ0006+1051 , 1RXSJ000620.3+105207 , BZBJ0006+1051  , 1.58454 , 10.86436 , 0.168 ,  , 15.6 , BL Lac-galaxy dominated , 12 ,  ,  , 1.72 , 
19 , 5BZQJ0006+2422 , BZQJ0006+2422  , BZQJ0006+2422  , 1.70329 , 24.37681 , 1.684 ,  , 18.8 , QSO RLoud flat radio sp. , 184 , 189 ,  ,  , 
20 , 5BZQJ0007-6113 , CRATESJ000717-611254 ,  , 1.83575 , -61.21842 , 0.857 ,  , 19.3 , QSO RLoud flat radio sp. , 87 , 224 ,  ,  , 
21 , 5BZBJ0007+4712 , RXJ00079+4712  , BZBJ0007+4712  , 1.99988 , 47.20214 , 0.28 ,  ?  , 18.2 , BL Lac , 60 , 59 ,  , 0.53 , 2.1e-9
22 , 5BZQJ0008-2339 , PKS 0005-239  , BZQJ0008-2339  , 2.00154 , -23.65497 , 1.412 ,  , 15.8 , QSO RLoud flat radio sp. , 375 , 599 ,  , 0.3 , 
23 , 5BZBJ0008-2339 , 1RXSJ000835.4-233917 , BZBJ0008-2339  , 2.14742 , -23.65772 , 0.147 ,  , 16.8 , BL Lac , 36 ,  ,  , 2.42 , 3e-10
24 , 5BZQJ0008-4619 , C16.07  , BZQJ0008-4619  , 2.15642 , -46.328 , 1.85 ,  , 16.6 , QSO RLoud flat radio sp. , 109 , 284 ,  ,  , 
25 , 5BZBJ0009+0628 , 1RXSJ000904.4+062828 , BZBJ0009+0628  , 2.26633 , 6.47261 ,  ,  , 18.9 , BL Lac , 247 , 259 ,  , 0.55 , 5e-10
